"SYMBOL","ENTREZID","GENENAME"
"LOC106601929","106601929","E3 ubiquitin-protein ligase RNF213-like"
"LOC106601932","106601932","E3 ubiquitin-protein ligase RNF213-like"
"LOC106602277","106602277","max dimerization protein 4-like"
"LOC106602295","106602295","uncharacterized LOC106602295"
"LOC106602320","106602320","probable E3 ubiquitin-protein ligase HERC6"
"LOC106602569","106602569","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106602570","106602570","choline transporter-like protein 1"
"LOC106602650","106602650","E3 ISG15--protein ligase HERC5-like"
"LOC106602661","106602661","E3 ISG15--protein ligase HERC5-like"
"LOC106603270","106603270","T-box transcription factor TBX2b-like"
"LOC106603576","106603576","schwannomin-interacting protein 1-like"
"LOC106605529","106605529","Krueppel-like factor 10"
"LOC106606115","106606115","uncharacterized LOC106606115"
"LOC106606457","106606457","dexamethasone-induced Ras-related protein 1-like"
"LOC106607057","106607057","target of Myb protein 1-like"
"LOC106607155","106607155","galectin-2-like"
"LOC106607261","106607261","uncharacterized LOC106607261"
"LOC106607836","106607836","uncharacterized LOC106607836"
"LOC106607932","106607932","interferon-induced protein 44-like"
"LOC106608297","106608297","transforming growth factor beta-3-like"
"LOC106608810","106608810","interferon-induced very large GTPase 1-like"
"LOC106608839","106608839","ubiquitin carboxyl-terminal hydrolase 47-like"
"LOC106608840","106608840","ankyrin repeat and IBR domain-containing protein 1-like"
"LOC106608842","106608842","uncharacterized LOC106608842"
"LOC106608959","106608959","tudor domain-containing protein 7B-like"
"LOC106608979","106608979","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106609031","106609031","poly [ADP-ribose] polymerase 12-like"
"LOC106609207","106609207","nicotinamide phosphoribosyltransferase-like"
"LOC106609343","106609343","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106609352","106609352","neuroepithelial cell-transforming gene 1 protein-like"
"LOC106609434","106609434","poly [ADP-ribose] polymerase 12-like"
"LOC106609921","106609921","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106610325","106610325","PERQ amino acid-rich with GYF domain-containing protein 2-like"
"LOC106610327","106610327","uncharacterized LOC106610327"
"LOC106610369","106610369","uncharacterized LOC106610369"
"LOC106610698","106610698","probable E3 ubiquitin-protein ligase RNF144A-A"
"LOC106611213","106611213","B1 bradykinin receptor-like"
"LOC106613254","106613254","TCDD-inducible poly [ADP-ribose] polymerase-like"
"mafa","106560405","MAF bZIP transcription factor A"
"ncf1","100270810","neutrophil cytosolic factor 1"
"nlrc5","106573720","NLR family CARD domain containing 5"
"r1441","100196325","Probable E3 ubiquitin-protein ligase RNF144A-A"
"rasf2","100380401","Ras association domain-containing protein 2"
"rn135","100196373","RING finger protein 135"
"rnf213","106611937","ring finger protein 213"
"stat2","100270812","signal transducer and activator of transcription 2"
"tap2a1","100136919","transport-associated protein 2A"
"tap2b","100136924","transport-associated protein 2b"
"usp11","106566499","ubiquitin specific peptidase 11"
