"SYMBOL","ENTREZID","GENENAME"
"LOC106574369","106574369","tripartite motif-containing protein 16-like"
"LOC106574762","106574762","protein asteroid homolog 1-like"
"LOC106574776","106574776","protein asteroid homolog 1-like"
"LOC106574784","106574784","protein asteroid homolog 1-like"
"LOC106575495","106575495","uncharacterized LOC106575495"
"LOC106576261","106576261","ubl carboxyl-terminal hydrolase 18-like"
"LOC106576301","106576301","poly [ADP-ribose] polymerase 12-like"
"LOC106576442","106576442","zinc-binding protein A33-like"
"LOC106576452","106576452","poly [ADP-ribose] polymerase 12-like"
"LOC106576573","106576573","zinc finger protein RFP-like"
"LOC106577640","106577640","uncharacterized LOC106577640"
"LOC106577766","106577766","interferon-induced very large GTPase 1-like"
"LOC106577966","106577966","nuclear factor 7, brain-like"
"LOC106578008","106578008","uncharacterized LOC106578008"
"LOC106578430","106578430","zinc finger protein RFP-like"
"LOC106578962","106578962","interferon-induced protein with tetratricopeptide repeats 5-like"
"LOC106578964","106578964","interferon-induced protein with tetratricopeptide repeats 5-like"
"LOC106579159","106579159","uncharacterized LOC106579159"
"LOC106579652","106579652","transmembrane protein 200C-like"
"LOC106579686","106579686","uncharacterized LOC106579686"
"LOC106579703","106579703","patched domain-containing protein 3-like"
"LOC106580299","106580299","polyubiquitin-like"
"LOC106580462","106580462","tyrosyl-DNA phosphodiesterase 2-like"
"LOC106581088","106581088","olfactory receptor 50-like"
"LOC106581354","106581354","integral membrane protein 2C-like"
"LOC106582055","106582055","uncharacterized protein C3orf38-like"
"LOC106582157","106582157","E3 SUMO-protein ligase RanBP2-like"
"LOC106583080","106583080","tripartite motif-containing protein 16-like protein"
"LOC106583171","106583171","cytochrome P450 1B1 pseudogene"
"LOC106583431","106583431","interferon-induced protein 44-like"
"LOC106583671","106583671","uncharacterized LOC106583671"
"LOC106583673","106583673","NFX1-type zinc finger-containing protein 1-like"
"LOC106584580","106584580","uncharacterized LOC106584580"
"LOC106584606","106584606","stonustoxin subunit alpha-like"
"LOC106584636","106584636","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106584668","106584668","tripartite motif-containing protein 16-like"
"LOC106585268","106585268","TRAF-type zinc finger domain-containing protein 1-like"
"LOC106585755","106585755","uncharacterized LOC106585755"
"LOC106586314","106586314","uncharacterized LOC106586314"
"LOC106586429","106586429","sterile alpha motif domain-containing protein 9-like"
"LOC106586887","106586887","interferon-induced GTP-binding protein Mx-like"
"LOC106587643","106587643","tripartite motif-containing protein 29-like"
"LOC106588383","106588383","uncharacterized LOC106588383"
"LOC106588384","106588384","uncharacterized LOC106588384"
"LOC106588405","106588405","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106588722","106588722","receptor-transporting protein 3-like"
"LOC106589024","106589024","RNA-binding protein 43-like"
"LOC106589231","106589231","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106589386","106589386","interferon-induced protein with tetratricopeptide repeats 5-like"
"LOC106589432","106589432","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106589433","106589433","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106589505","106589505","uncharacterized LOC106589505"
"LOC106590148","106590148","tripartite motif-containing protein 16-like"
"LOC106590150","106590150","tripartite motif-containing protein 16-like"
"LOC106590294","106590294","uncharacterized LOC106590294"
"LOC106591184","106591184","tripartite motif-containing protein 16-like"
"LOC106591196","106591196","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106591310","106591310","uncharacterized LOC106591310"
"LOC106591596","106591596","tripartite motif-containing protein 16-like"
"LOC106591921","106591921","probable E3 ubiquitin-protein ligase HERC6"
"LOC106591922","106591922","probable E3 ubiquitin-protein ligase HERC6"
"LOC106591927","106591927","suppressor of cytokine signaling 1-like"
"LOC106592320","106592320","GTPase IMAP family member 7-like"
"LOC106592321","106592321","GTPase IMAP family member 7-like"
"LOC106592439","106592439","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106592440","106592440","tripartite motif-containing protein 16-like"
"LOC106592981","106592981","uncharacterized LOC106592981"
"LOC106592982","106592982","poly(ADP-ribose) glycohydrolase-like"
"LOC106593566","106593566","tripartite motif-containing protein 16-like"
"LOC106593843","106593843","probable E3 ubiquitin-protein ligase HERC6"
"LOC106594099","106594099","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106594100","106594100","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106594284","106594284","probable E3 ubiquitin-protein ligase RNF144A-A"
"LOC106594322","106594322","TRAF3-interacting protein 1-like"
"LOC106594719","106594719","uncharacterized LOC106594719"
"LOC106595160","106595160","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106595751","106595751","zinc-binding protein A33-like"
"LOC106595796","106595796","probable serine/threonine-protein kinase GCN2"
"LOC106595825","106595825","tripartite motif-containing protein 16-like"
"LOC106595875","106595875","tripartite motif-containing protein 16-like"
"LOC106596079","106596079","uncharacterized LOC106596079"
"LOC106596130","106596130","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106596233","106596233","poly(ADP-ribose) glycohydrolase-like"
"LOC106596903","106596903","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106596922","106596922","protein PML-like"
"LOC106597052","106597052","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106597300","106597300","tripartite motif-containing protein 29-like"
"LOC106597453","106597453","uncharacterized LOC106597453"
"LOC106597471","106597471","tripartite motif-containing protein 47-like"
"LOC106597803","106597803","stonustoxin subunit beta-like"
"LOC106597924","106597924","tripartite motif-containing protein 16-like"
"LOC106597928","106597928","tripartite motif-containing protein 16-like"
"LOC106598415","106598415","tripartite motif-containing protein 29-like"
"LOC106598632","106598632","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106598702","106598702","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106598878","106598878","tripartite motif-containing protein 29-like"
"LOC106599095","106599095","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106599139","106599139","stonustoxin subunit beta-like"
"LOC106599393","106599393","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106599403","106599403","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106599554","106599554","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106599712","106599712","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106599784","106599784","tripartite motif-containing protein 47-like"
"LOC106599942","106599942","tripartite motif-containing protein 29-like"
"LOC106600090","106600090","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106600688","106600688","poly [ADP-ribose] polymerase 14-like"
"LOC106600701","106600701","nuclear pore complex protein Nup214-like"
"LOC106600865","106600865","interferon a3"
"LOC106601188","106601188","tripartite motif-containing protein 47-like"
"LOC106601757","106601757","sterile alpha motif domain-containing protein 9-like"
"LOC106601794","106601794","sterile alpha motif domain-containing protein 9-like"
"LOC106602018","106602018","uncharacterized LOC106602018"
"LOC106602317","106602317","probable E3 ubiquitin-protein ligase HERC6"
"LOC106602323","106602323","probable E3 ubiquitin-protein ligase HERC3"
"LOC106602567","106602567","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106602568","106602568","E3 ubiquitin-protein ligase TRIM21-like"
"LOC106603287","106603287","galectin-9-like"
"LOC106603685","106603685","tripartite motif-containing protein 16-like"
"LOC106604345","106604345","tripartite motif-containing protein 47-like"
"LOC106604346","106604346","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106605064","106605064","nuclear factor 7, brain-like"
"LOC106606682","106606682","sterile alpha motif domain-containing protein 9-like"
"LOC106607104","106607104","CD9 antigen-like"
"LOC106607151","106607151","interferon-induced very large GTPase 1-like"
"LOC106607152","106607152","galectin-9-like"
"LOC106607153","106607153","interferon-induced very large GTPase 1-like"
"LOC106607291","106607291","probable ATP-dependent RNA helicase DHX58"
"LOC106608577","106608577","neurofilament medium polypeptide-like"
"LOC106608578","106608578","interferon-induced protein with tetratricopeptide repeats 5-like"
"LOC106608837","106608837","uncharacterized protein DDB_G0290685-like"
"LOC106608838","106608838","ubiquitin carboxyl-terminal hydrolase 7-like"
"LOC106609042","106609042","uncharacterized LOC106609042"
"LOC106609310","106609310","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106609458","106609458","ubl carboxyl-terminal hydrolase 18-like"
"LOC106609484","106609484","nuclear factor 7, ovary-like"
"LOC106609500","106609500","nuclear factor 7, brain-like"
"LOC106609623","106609623","zinc finger protein RFP-like"
"LOC106609653","106609653","poly [ADP-ribose] polymerase 11-like"
"LOC106610264","106610264","probable E3 ubiquitin-protein ligase HERC4"
"LOC106610285","106610285","probable E3 ubiquitin-protein ligase HERC3"
"LOC106610286","106610286","probable E3 ubiquitin-protein ligase HERC3"
"LOC106610287","106610287","E3 ISG15--protein ligase HERC5-like"
"LOC106610288","106610288","probable E3 ubiquitin-protein ligase HERC3"
"LOC106610637","106610637","uncharacterized LOC106610637"
"LOC106610967","106610967","sacsin-like"
"LOC106611944","106611944","serine protease 27-like"
"LOC106612527","106612527","F-box only protein 39-like"
"LOC106613461","106613461","DNA methyltransferase 1-associated protein 1-like"
"LOC106613533","106613533","galectin-3-binding protein A-like"
"LOC106613674","106613674","uncharacterized LOC106613674"
"mx","100194889","Interferon-induced GTP-binding protein Mx"
"mx2","100136920","myxovirus resistance 2"
"rtp3","100196087","Receptor-transporting protein 3"
"scyb7","100196194","Platelet basic protein"
"stat1","100196256","Signal transducer and activator of transcription 1"
"tlr3","106602560","toll like receptor 3"
"trad1","100380557","TRAF-type zinc finger domain-containing protein 1"
"tsep","100196351","TsetseEP"
"ubl1","100196201","Ubiquitin-like protein 1"
"xaf1","100196425","XIAP-associated factor 1"
